"Crash_ID","$1000_Damage_to_Any_One_Person's_Property","Agency","At_Intersection_Flag","Construction_Zone_Flag","Crash_Date","Crash_Death_Count","Crash_Month","Crash_Not_Injured_Count","Crash_Severity","Crash_Time","Crash_Year","Day_of_Week","First_Harmful_Event","Hour_of_Day","Light_Condition","Manner_of_Collision","Median_Width","Number_of_Entering_Roads","Physical_Feature_1","Physical_Feature_2","Road_Class","Roadway_Type","Speed_Limit","Surface_Condition","Traffic_Control_Type","Weather_Condition","Driver_License_Class","Charge","Person_Age","Person_Alcohol_Specimen_Type_Taken","Person_Drug_Specimen_Type","Person_Drug_Test_Result","Person_Ethnicity","Person_Gender","Person_Helmet","Person_Injury_Severity","Person_Total_Injury_Count","injuries_report"
"13079200","No","AUSTIN POLICE DEPARTMENT",FALSE,"No","2013-01-01",0,"1",1,"B - SUSPECTED MINOR INJURY","244","2013","TUESDAY","PEDALCYCLIST","02:00 - 02:59","3 - DARK, LIGHTED","ONE MOTOR VEHICLE - GOING STRAIGHT",0,"97 - NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","US & STATE HIGHWAYS","4 OR MORE LANES",35,"2 - WET","96 - NONE","3 - RAIN","99 - UNKNOWN","NO CHARGES",21,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","99 - UNKNOWN","99 - UNKNOWN","97 - NOT APPLICABLE","99 - UNKNOWN",0,"Person_Unkown_Injury"
"13079200","No","AUSTIN POLICE DEPARTMENT",FALSE,"No","2013-01-01",0,"1",1,"B - SUSPECTED MINOR INJURY","244","2013","TUESDAY","PEDALCYCLIST","02:00 - 02:59","3 - DARK, LIGHTED","ONE MOTOR VEHICLE - GOING STRAIGHT",0,"97 - NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","US & STATE HIGHWAYS","4 OR MORE LANES",35,"2 - WET","96 - NONE","3 - RAIN","C - CLASS C","NO CHARGES",50,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","W - WHITE","1 - MALE","1 - NOT WORN","N - NOT INJURED",0,"Person_Not_Injured"
"13079200","No","AUSTIN POLICE DEPARTMENT",FALSE,"No","2013-01-01",0,"1",1,"B - SUSPECTED MINOR INJURY","244","2013","TUESDAY","PEDALCYCLIST","02:00 - 02:59","3 - DARK, LIGHTED","ONE MOTOR VEHICLE - GOING STRAIGHT",0,"97 - NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","US & STATE HIGHWAYS","4 OR MORE LANES",35,"2 - WET","96 - NONE","3 - RAIN","C - CLASS C","NO CHARGES",28,"TEST_NOT_TAKEN","TEST_NOT_TAKEN","97 - NOT APPLICABLE","W - WHITE","1 - MALE","1 - NOT WORN","B - SUSPECTED MINOR INJURY",1,"Person_Possible_Injury"
"13079200","No","AUSTIN POLICE DEPARTMENT",FALSE,"No","2013-01-01",0,"1",1,"B - SUSPECTED MINOR INJURY","244","2013","TUESDAY","PEDALCYCLIST","02:00 - 02:59","3 - DARK, LIGHTED","ONE MOTOR VEHICLE - GOING STRAIGHT",0,"97 - NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","US & STATE HIGHWAYS","4 OR MORE LANES",35,"2 - WET","96 - NONE","3 - RAIN","C - CLASS C","NO CHARGES",31,"TEST_NOT_TAKEN","TEST_NOT_TAKEN","97 - NOT APPLICABLE","W - WHITE","2 - FEMALE","1 - NOT WORN","B - SUSPECTED MINOR INJURY",1,"Person_Possible_Injury"
"13079200","No","AUSTIN POLICE DEPARTMENT",FALSE,"No","2013-01-01",0,"1",1,"B - SUSPECTED MINOR INJURY","244","2013","TUESDAY","PEDALCYCLIST","02:00 - 02:59","3 - DARK, LIGHTED","ONE MOTOR VEHICLE - GOING STRAIGHT",0,"97 - NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","US & STATE HIGHWAYS","4 OR MORE LANES",35,"2 - WET","96 - NONE","3 - RAIN","C - CLASS C","NO CHARGES",26,"TEST_NOT_TAKEN","TEST_NOT_TAKEN","97 - NOT APPLICABLE","W - WHITE","2 - FEMALE","1 - NOT WORN","B - SUSPECTED MINOR INJURY",1,"Person_Possible_Injury"
"13136064","Yes","AUSTIN POLICE DEPARTMENT",TRUE,"No","2013-01-02",0,"1",2,"A - SUSPECTED SERIOUS INJURY","2259","2013","WEDNESDAY","PEDALCYCLIST","22:00 - 22:59","3 - DARK, LIGHTED","ONE MOTOR VEHICLE - GOING STRAIGHT",0,"4 - FOUR ENTERING ROADS","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",50,"1 - DRY","5 - SIGNAL LIGHT","1 - CLEAR","C - CLASS C","NO CHARGES",25,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","W - WHITE","1 - MALE","1 - NOT WORN","A - SUSPECTED SERIOUS INJURY",1,"Person_Possible_Injury"
"13136064","Yes","AUSTIN POLICE DEPARTMENT",TRUE,"No","2013-01-02",0,"1",2,"A - SUSPECTED SERIOUS INJURY","2259","2013","WEDNESDAY","PEDALCYCLIST","22:00 - 22:59","3 - DARK, LIGHTED","ONE MOTOR VEHICLE - GOING STRAIGHT",0,"4 - FOUR ENTERING ROADS","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",50,"1 - DRY","5 - SIGNAL LIGHT","1 - CLEAR","C - CLASS C","NO DRIVER'S LICENSE",18,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","B - BLACK","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED",0,"Person_Not_Injured"
"13136064","Yes","AUSTIN POLICE DEPARTMENT",TRUE,"No","2013-01-02",0,"1",2,"A - SUSPECTED SERIOUS INJURY","2259","2013","WEDNESDAY","PEDALCYCLIST","22:00 - 22:59","3 - DARK, LIGHTED","ONE MOTOR VEHICLE - GOING STRAIGHT",0,"4 - FOUR ENTERING ROADS","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",50,"1 - DRY","5 - SIGNAL LIGHT","1 - CLEAR","C - CLASS C","NO CHARGES",19,"TEST_NOT_TAKEN","TEST_NOT_TAKEN","97 - NOT APPLICABLE","B - BLACK","1 - MALE","97 - NOT APPLICABLE","N - NOT INJURED",0,"Person_Not_Injured"
"13082011","Yes","AUSTIN POLICE DEPARTMENT",TRUE,"No","2013-01-05",0,"1",1,"C - POSSIBLE INJURY","1124","2013","SATURDAY","PEDALCYCLIST","11:00 - 11:59","1 - DAYLIGHT","ONE MOTOR VEHICLE - TURNING LEFT",0,"97 - NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",0,"1 - DRY","5 - SIGNAL LIGHT","2 - CLOUDY","C - CLASS C","FTYROW LEFT TURN INTERSECTION",38,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","W - WHITE","2 - FEMALE","97 - NOT APPLICABLE","N - NOT INJURED",0,"Person_Not_Injured"
"13082011","Yes","AUSTIN POLICE DEPARTMENT",TRUE,"No","2013-01-05",0,"1",1,"C - POSSIBLE INJURY","1124","2013","SATURDAY","PEDALCYCLIST","11:00 - 11:59","1 - DAYLIGHT","ONE MOTOR VEHICLE - TURNING LEFT",0,"97 - NOT APPLICABLE","NOT APPLICABLE","NOT APPLICABLE","CITY STREET","NOT APPLICABLE",0,"1 - DRY","5 - SIGNAL LIGHT","2 - CLOUDY","C - CLASS C","NO CHARGES",20,"96 - NONE","96 - NONE","97 - NOT APPLICABLE","W - WHITE","1 - MALE","4 - WORN, UNK DAMAGE","C - POSSIBLE INJURY",1,"Person_Possible_Injury"
